test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,37,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.76,104.38212409737412,146.47313630974477,133.9838153485906,70.8105501679116,0.0,677847,0.0937,1,No matching event found,106.5256,0.1736619036761305,buyer_S1_37,seller_S1_37,0.5509247886891138,0.0
S1,38,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.31,49.43811259175028,112.89197037759486,63.31004716935678,66.59887227341078,0.0,681079,0.1021,1,No matching event found,85.8541,0.038689196902056806,buyer_S1_38,seller_S1_38,0.9261028615288781,-11.709487198242378
S1,39,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",85.17,67.45286673321664,116.69695766745483,106.37310943344995,84.45782641644392,0.0,681063,0.0984,1,No matching event found,89.8721,0.05514876487994247,buyer_S1_39,seller_S1_39,0.9552674816704928,0.0
S1,40,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.28,83.19102255910248,97.12059954233906,123.00326031111418,72.51170969072032,0.0,681063,0.0986,1,No matching event found,92.2454,0.021770898224824916,buyer_S1_40,seller_S1_40,0.8499890591226189,0.0
S1,41,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.85,66.65437209205541,137.97266918112445,97.48298767703822,90.39067430066731,0.0,681063,0.0966,1,No matching event found,92.7232,0.020647570980108592,buyer_S1_41,seller_S1_41,0.8655279075913349,0.0
S1,42,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.99,87.15725090570756,138.87059000185465,137.36200455920607,100.77493848388887,0.0,681047,0.1025,1,No matching event found,98.0298,0.07732219588483386,buyer_S1_42,seller_S1_42,0.7102465105584818,-0.15006059672769645
S1,43,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.48,105.56412208253685,110.08738346952642,155.9582954909907,58.61179031169586,0.0,678394,0.0944,1,No matching event found,106.0164,0.15887472050014845,buyer_S1_43,seller_S1_43,0.5999893392771982,0.0
S1,44,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.34,82.85156617152853,140.44439419617615,122.77676226020974,81.51948806612407,0.0,681063,0.0979,1,No matching event found,94.0935,0.06516075927449685,buyer_S1_44,seller_S1_44,0.6951967669248736,0.0
S1,45,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.18,90.1616483796942,124.03897588336542,117.1618211849771,39.54806284069561,0.0,681610,0.0983,1,No matching event found,94.0851,0.05500408985130564,buyer_S1_45,seller_S1_45,0.6158134926635113,0.0
S1,46,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",87.43,73.85366787262777,101.3993728252965,111.3558447811508,41.582448529278174,0.0,681610,0.1053,1,No matching event found,88.4359,0.011487157890007897,buyer_S1_46,seller_S1_46,0.9706168474385166,0.0
